fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
8.9,0.32,0.31,2,0.088,12,19,0.9957,3.17,0.55,10.4,6
6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,6
6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6
8.7,0.48,0.3,2.8,0.066,10,28,0.9964,3.33,0.67,11.2,7
7.8,0.62,0.05,2.3,0.079,6,18,0.99735,3.29,0.63,9.3,5
8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,5
8.1,0.29,0.36,2.2,0.048,35,53,0.995,3.27,1.01,12.4,7
9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5
10,0.73,0.43,2.3,0.059,15,31,0.9966,3.15,0.57,11,5
6.6,0.88,0.04,2.2,0.066,12,20,0.99636,3.53,0.56,9.9,5
7.5,0.755,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,4
8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,5
6.7,0.855,0.02,1.9,0.064,29,38,0.99472,3.3,0.56,10.75,6
12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,5
7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9,5
7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,5
6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5
7.8,0.5,0.12,1.8,0.178,6,21,0.996,3.28,0.87,9.8,6
6.9,0.635,0.17,2.4,0.241,6,18,0.9961,3.4,0.59,10.3,6
7.2,0.58,0.03,2.3,0.077,7,28,0.99568,3.35,0.52,10,5
9.5,0.57,0.27,2.3,0.082,23,144,0.99782,3.27,0.55,9.4,5
6.9,0.45,0.11,2.4,0.043,6,12,0.99354,3.3,0.65,11.4,6
9.2,0.755,0.18,2.2,0.148,10,103,0.9969,2.87,1.36,10.2,6
6.1,0.53,0.08,1.9,0.077,24,45,0.99528,3.6,0.68,10.3,6
6.9,0.51,0.23,2,0.072,13,22,0.99438,3.4,0.84,11.2,6
8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,8
8.8,0.45,0.43,1.4,0.076,12,21,0.99551,3.21,0.75,10.2,6
7.3,0.74,0.08,1.7,0.094,10,45,0.99576,3.24,0.5,9.8,5
5,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,6
6.8,0.51,0.01,2.1,0.074,9,25,0.9958,3.33,0.56,9.5,6
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4
7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,5
7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,6
8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,6
8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,6
8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5
11.6,0.41,0.58,2.8,0.096,25,101,1.00024,3.13,0.53,10,5
9.1,0.66,0.15,3.2,0.097,9,59,0.99976,3.28,0.54,9.6,5
7,0.745,0.12,1.8,0.114,15,64,0.99588,3.22,0.59,9.5,6
6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2,4
11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,6
9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5
7.2,0.605,0.02,1.9,0.096,10,31,0.995,3.46,0.53,11.8,6
7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5
6.9,0.44,0,1.4,0.07,32,38,0.99438,3.32,0.58,11.4,6
6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5
7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6
7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,5
6.7,1.04,0.08,2.3,0.067,19,32,0.99648,3.52,0.57,11,4
8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,6
11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,7
10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,5
7.7,0.28,0.3,2,0.062,18,34,0.9952,3.28,0.9,11.3,7
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5
7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5
7.6,0.74,0,1.9,0.1,6,12,0.99521,3.36,0.59,11,5
11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1,7
13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,6
7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,6
7.2,0.53,0.13,2,0.058,18,22,0.99573,3.21,0.68,9.9,6
7.1,0.69,0.08,2.1,0.063,42,52,0.99608,3.42,0.6,10.2,6
7.2,0.58,0.54,2.1,0.114,3,9,0.99719,3.33,0.57,10.3,4
10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3,4
8,0.59,0.05,2,0.089,12,32,0.99735,3.36,0.61,10,5
6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5
8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6
8.7,0.765,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4,5
7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,6
10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9,5
10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9,7
7.1,0.63,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6,5
10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5
6.3,0.55,0.15,1.8,0.077,26,35,0.99314,3.32,0.82,11.6,6
7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,5
6.4,0.53,0.09,3.9,0.123,14,31,0.9968,3.5,0.67,11,4
